run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
true,8ce4fe54af77467d90c840465f69677f,79.33333333333336,85.33333333333333,0.7965391137064116,0.29015234961733744,15,5,0,0,,,,,0,,
true,f4af7fd215ee47aa8b64bac0443d7be8,89.16666666666669,93.88888888888889,0.8882171586765052,0.12831625656949253,9,0,0,0,,,,,0,,
true,f2d9e6f194ee446eafc7a79fcb32994a,93.21428571428572,96.42857142857143,0.9295527422518614,0.055781963646769225,7,0,0,0,,,,,0,,
true,9e5f09bc19cd473dae219194ada64f3d,83.125,88.54166666666666,0.8253345927740444,0.2267514713836886,12,0,0,0,,,,,0,,
true,f5c0c1968ef0486cb3183e521841352f,91.04166666666667,94.375,0.907123220509388,0.10825761308538012,12,5,0,0,,,,,0,,
true,e561b60694dc4514b6dddcfc5a5b6a90,87.5,92.77777777777779,0.8782572055299885,0.12746292314343877,9,0,0,0,,,,,0,,
true,c283b224a9984736bff67a2f347866fa,22.5,17.1875,0.20917820652596197,15.262565814828495,8,0,6,6,2,2,2,2,0,,
true,a6ca1e8c4eee458cb4981e02f58c954f,83.05555555555554,93.33333333333333,0.8362019727764518,0.13153826522184617,9,0,0,0,,,,,0,,
true,898c8b3c29d64d80806dd5e5fc6c02d3,90.00000000000001,96.24999999999999,0.9173360574816986,0.05705615219331833,6,0,0,0,,,,,0,,
true,19f5d51759454803ae8bbc45bfb92737,76.25,87.08333333333333,0.7654423552862957,0.24944053509853856,6,0,0,0,,,,,0,,
true,dc762bf1bc694d3e8141bf592f9b1456,29.464285714285715,27.499999999999996,0.2857166839199277,9.353071519964345,14,1,9,9,5,9,5,9,0,,
true,e73ba8faf67d40c8b6b653489393ef8b,71.61764705882352,82.35294117647058,0.7195321566272109,0.35648769452870976,17,5,0,0,,,,,0,,
true,68dbf490d231446f92fa7dbd366c8b93,86.73076923076925,92.6923076923077,0.8661047240215644,0.1455430230162706,13,7,0,0,,,,,0,,
true,713b6bedc51f4d1b9802a13aec39aaf3,80.55555555555556,89.44444444444444,0.8102932442553447,0.1991162201370972,9,0,0,0,,,,,0,,
true,200c440c0e9b4627ad4f3047227016a2,7.023809523809524,4.761904761904763,0.04818585243084264,33.57968291887665,21,15,20,20,1,1,1,1,0,,
true,007842c92eaf4351b5a9678f7e7094f3,78.33333333333333,91.25000000000001,0.7895685803824096,0.17515008301324927,6,0,0,0,,,,,0,,
true,1f8d7e8410ed435da374688590a13b0a,74.79166666666667,88.125,0.7533599145551925,0.24095622351580678,12,1,0,0,,,,,0,,
true,7328a1bef88b4e84aa2ee0d837effd8d,97.85714285714286,97.85714285714286,0.984854941120957,0.013675493329684233,7,0,0,0,,,,,0,,
true,dce1fda2d70945c792dcc27074ec6aa9,39.62500000000001,57.125,0.39252032850351826,1.7864511016782623,20,0,4,4,16,32,16,32,0,,
true,2a42fd0e123c455fbaeb1c5f03dba0b2,92.3076923076923,95.38461538461537,0.9260517741446944,0.07244008760451214,13,0,0,0,,,,,0,,
true,f3995943006145ca8a7bc375527f0aba,13.33333333333333,11.111111111111112,0.11606885258581243,30.55554353676923,9,4,8,8,1,1,1,1,0,,
true,2cc84e32d40647b185276f8d7baf5322,59.999999999999986,81.25,0.5977366107000072,0.3920602221166718,6,0,0,0,,,,,0,,
true,d0f5aace57684923b8a44b554b006fb2,36.375,63.87500000000001,0.3656864792032528,0.7293505429634184,20,1,0,0,,,,,0,,
true,84755505e70547af890aff9db860f692,79.06250000000001,73.75,0.790883769249793,0.5241127687798327,16,5,0,0,,,,,0,,
true,349232409f354033b215b5e37c3312ab,84.16666666666669,89.375,0.8475443692550063,0.20245348279911915,12,6,0,0,,,,,0,,
true,f7f666bf92c049bea8fabc42a8831005,96.875,97.70833333333333,0.9695163347225418,0.020189758641064183,12,0,0,0,,,,,0,,
true,b9df4a8540da4a3a94d7911ead8c1bc8,63.74999999999999,70.41666666666666,0.6399398520317543,0.5823937038624148,6,0,0,0,,,,,0,,
true,06ff24b7f1e8479b934f1b74348028bc,17.794117647058822,17.5,0.16292597469749487,3.5546877687845644,17,2,13,13,4,8,4,8,0,,
true,96c353e8f14d4a63ba2b844d43cffc42,80.00000000000001,89.99999999999999,0.7990935885674557,0.1953000498680731,13,0,0,0,,,,,0,,
true,eaaf60765ee8478f8e0bd4942571c6fb,41.42857142857142,66.19047619047619,0.41637415543549094,0.6777250364307144,21,0,0,0,,,,,0,,
true,802bbdc22d21477f8803a39a5e7e98bf,74.64285714285714,82.85714285714285,0.7475842047485255,0.36199788779913883,7,1,0,0,,,,,0,,
true,ebb251e1e8b144c697dc28c22bb44b13,79.16666666666667,91.25000000000001,0.793425891893485,0.19075468495475736,6,2,0,0,,,,,0,,
true,377df4ee88ec46c9be892080557263f6,83.26923076923077,90.76923076923077,0.8402812328097216,0.17628220577474413,13,4,0,0,,,,,0,,
true,9c5151b34911482f8155ab55c3f5d32f,17.5,14.285714285714285,0.162690136628205,21.910841621493397,7,0,6,6,1,1,1,1,0,,
true,3620feb00d744241a94855f3a8913a78,48.55263157894737,72.89473684210526,0.4870320217716519,0.5454121306150825,19,0,0,0,,,,,0,,
true,6346de1c47584b34833d6df500d2ed6c,81.73076923076923,92.3076923076923,0.8211682482135548,0.16014871332306868,13,0,0,0,,,,,0,,
true,db7d65690f2e412e887468596e2ddabf,78.84615384615384,90.76923076923077,0.7913818784050116,0.18992037166876438,13,0,0,0,,,,,0,,
true,0bfc7d407d09490cba7ac57897fcb100,81.53846153846153,89.23076923076923,0.8187785027581902,0.20238156862073264,13,0,0,0,,,,,0,,
true,045cd82a77a1472499e8c15100cb5ff3,9.705882352941176,5.88235294117647,0.0764236459970329,10.76600232375626,17,3,16,16,1,1,1,1,0,,
true,48d06a263b314b48bd41343ea5f5d158,81.09375000000001,89.21875,0.8112621480505386,0.22510335897286454,16,5,0,0,,,,,0,,
true,7581fd7e9c0f426cb0efb9ea1f3f2830,90.00000000000001,93.84615384615384,0.9031812437820773,0.12452050804117551,13,0,0,0,,,,,0,,
true,1e4a740fd22b44dda3eed861e6e3f170,75.27777777777777,80.83333333333333,0.7580034607655813,0.39451550626991755,9,3,0,0,,,,,0,,
true,2ef4b4d20b064d34b754f68e48f5a5c2,73.125,85.78125,0.7310151492304893,0.2765626345055306,16,0,0,0,,,,,0,,
true,143ecd5e93614768bdb3da695e76c409,42.69230769230769,39.61538461538461,0.4234649484496466,1.21018438735402,13,0,0,0,,,,,0,,
true,4a8058d0441a46d381995e1af1086039,89.72222222222224,90.55555555555556,0.898363687910456,0.17896522815735258,9,0,0,0,,,,,0,,
true,34daad97663c4e8ea00f842adc581ab5,74.16666666666669,81.66666666666667,0.7434851585886003,0.37060050048878845,15,0,0,0,,,,,0,,
true,ca5b3ca5aea745ee8fe12b0f74d77f8e,57.14285714285714,74.52380952380952,0.5690759002503329,0.5268883254937561,21,0,0,0,,,,,0,,
true,720ca55c654a4ac8bfe9babd1c1072be,66.73076923076924,80.0,0.6693982681066376,0.39720382779986846,13,0,0,0,,,,,0,,
true,63510eb8f6ed4b3189002b1f2648ea1f,45.714285714285715,65.53571428571428,0.4600121256953776,0.6990801960199757,14,1,0,0,,,,,0,,
true,6dafc154a9ef43ff8fd680620dc90433,81.83333333333334,93.0,0.8182668657861979,0.14869714933239916,15,0,0,0,,,,,0,,
true,e2878e5b8aa849a18e39baee3f3440bd,67.73809523809524,79.28571428571429,0.6799295623157272,0.4031888167787693,21,0,0,0,,,,,0,,
true,11a08ff383a6451bbda6b9af56cfa6e2,66.47058823529412,80.29411764705883,0.6681083480219611,0.3904269424779387,17,0,0,0,,,,,0,,
true,0cfdfb5bbe8a41268271e24f2edefb9c,63.57142857142857,80.47619047619048,0.6327879218965664,0.39126745540012015,21,5,0,0,,,,,0,,
true,1a018f3bcdea44f9ab60912938495032,7.023809523809524,4.761904761904763,0.047619047619043106,19.934942685982087,21,9,20,20,1,1,1,1,0,,
true,f987ba5f8e6243889a731f8cffe1934b,63.8235294117647,81.17647058823529,0.640834338573352,0.3677507762042355,17,0,0,0,,,,,0,,
true,64b22104a573415a8c860fc22214619c,27.03125,40.78125,0.2711704462327932,1.1749729379474032,16,0,0,0,,,,,0,,
true,98eef3fdea464efd92fb6aaf0ebe8c9a,16.875,32.65625,0.16613705891723426,1.420660923034136,16,2,4,4,12,24,12,24,0,,
true,e5cabb9d6b474377a206feab4ec64d3f,70.83333333333333,88.75,0.7187522590599498,0.22574686420180837,6,0,0,0,,,,,0,,
true,64ce64c25d424c3088db384021d8dbb3,84.16666666666669,93.75,0.8437351102756935,0.11217400409613708,6,0,0,0,,,,,0,,
true,3eff2b1ecf29497e9967dd21509431fe,56.94444444444444,78.88888888888889,0.5738155488028182,0.4417020347271288,9,0,0,0,,,,,0,,
true,65acd0cbce474d9cb2eef362a1b279be,56.19047619047619,54.76190476190476,0.5593833721806878,0.9204569204047776,21,2,0,0,,,,,0,,
true,a9916751b03c494dafa2eddc4496e702,82.67857142857142,91.25000000000001,0.8289433413278965,0.160544928041771,14,0,0,0,,,,,0,,
true,bbe3bc5ca1434a2ea802f5ed5062785e,77.50000000000001,90.38461538461539,0.7759399608220393,0.1887861577991671,13,0,0,0,,,,,0,,
true,6786acf4f6b644639d550c608785320f,36.44736842105264,58.42105263157894,0.3651993452354793,0.8327702300911555,19,0,0,0,,,,,0,,
true,856aeb4fa2024f1284c6290a44e9dec5,64.5,83.125,0.6480903813960348,0.33896842405029803,20,0,0,0,,,,,0,,
true,29d3fb54f8b746118133456815b12eeb,82.88461538461539,92.6923076923077,0.828016094751536,0.15792963625926237,13,0,0,0,,,,,0,,
true,2197057ff31949819b309f2c7ec9a113,69.72222222222223,85.97222222222223,0.6989809924326815,0.28119787704998944,18,0,0,0,,,,,0,,
true,29f69a7cb2c544c8a5ef26437a48e021,58.23529411764705,79.70588235294117,0.5797226229426428,0.41221968174889184,17,0,0,0,,,,,0,,
true,a661e4cd1f644266a8307b4948082ae7,61.617647058823536,81.47058823529412,0.6121283777449125,0.3730172030420075,17,0,0,0,,,,,0,,
true,9ca01ff2a1b54d2eafaed768e58783ad,57.50000000000001,77.3611111111111,0.5775089749793092,0.45850638297563545,18,0,0,0,,,,,0,,
true,a1cc58fdb3fa4a0097a315a77ce1be90,67.25,83.74999999999999,0.6723267842329259,0.3229991198591064,10,0,0,0,,,,,0,,
true,307a3275c31f452eb9c7c66636c7bb27,60.45454545454546,77.27272727272727,0.6041374790552546,0.4426011280200232,11,0,0,0,,,,,0,,
true,d71462c2ae74472bae3adbf7a41b2fc7,48.45238095238095,67.14285714285714,0.48107199658410904,0.6532151208706062,21,0,0,0,,,,,0,,
true,6ad58d370ed542a9a68e1fcf5a4f2ee7,32.94117647058823,45.147058823529406,0.32009757751981965,1.1225384089178954,17,3,3,3,14,26,14,26,0,,
true,55527032f0174fefa3b051a24707bf08,60.357142857142854,75.47619047619048,0.6026873489658249,0.4910947190326861,21,0,0,0,,,,,0,,
true,fa6ddc168ffb4ab88b718f719357211e,66.02941176470587,84.11764705882354,0.6663892453157689,0.3218274621500208,17,0,0,0,,,,,0,,
true,77268b95b44a4b89ad17df89479de81c,25.57692307692308,43.46153846153846,0.250741415495821,1.1296349880303929,13,0,0,0,,,,,0,,
true,e3f3d97fa9564422a37828d01c8a2f5f,62.30769230769231,80.76923076923077,0.6267585255935354,0.37479683544168796,13,0,0,0,,,,,0,,
true,ec221beba32448e4a9865e920aeefed5,46.470588235294116,61.17647058823529,0.4690802076569555,0.7775940637938866,17,0,0,0,,,,,0,,
true,ca3f0ced132845b4afce73a6f27a953e,84.16666666666666,92.77777777777779,0.8396002665251248,0.1324879036470577,9,0,0,0,,,,,0,,
true,fe050ab6b19d41d8bc2641f9835e9d1b,40.44117647058824,57.79411764705882,0.40694026227051694,0.8371110280056611,17,4,1,1,16,31,,,0,,
true,0b2ef8648d3c467989b67d5a3ce2a3df,14.250000000000002,10.0,0.12163179415468306,5.987018893422938,10,6,9,9,1,1,1,1,0,,
true,8fba9861aa6d4d14b78c90fbb5372fb2,47.125000000000014,68.125,0.46816506165331606,0.6311392694050341,20,0,0,0,,,,,0,,
true,3eb275ac391e46aa8fad54e18a7b5a8f,48.95833333333333,71.04166666666667,0.47728261060280425,0.5727618627925241,12,0,0,0,,,,,0,,
true,fd4ce422e0db4ad3ab978a811ba04d3a,53.87500000000001,74.125,0.5418601836045565,0.5072343030481005,20,0,0,0,,,,,0,,
true,2e84949acbd84ea3857ca2a04e50b6a4,45.83333333333333,66.1111111111111,0.465913082759205,0.6669768518663579,9,0,0,0,,,,,0,,
true,52770232202d4ad1a98ed07d5b4c20b9,68.00000000000001,80.125,0.6805127270363984,0.3985985573090463,20,2,0,0,,,,,0,,
true,ec5241e32939433baeb2b3955920b28c,67.5,85.29411764705883,0.6760075688692552,0.2886881683304298,17,0,0,0,,,,,0,,
true,7a2612095f7840048f58d69a07e836a5,75.17857142857143,80.89285714285714,0.7502312480555207,0.38912512872561483,14,0,0,0,,,,,0,,
true,ec2a550c52b240d98c9c3bca3d06602f,44.861111111111114,66.80555555555556,0.4500772099935441,0.6661506279630282,18,4,0,0,,,,,0,,
true,85269a87307a4ee3967e37b496e32280,42.291666666666664,66.45833333333333,0.42091384555683936,0.6775243247249908,12,0,0,0,,,,,0,,
fixed,8ce4fe54af77467d90c840465f69677f,79.66666666666667,85.66666666666667,0.7984466806042076,0.28609011167971055,15,5,0,0,,,,,0,,
fixed,f4af7fd215ee47aa8b64bac0443d7be8,89.16666666666669,93.88888888888889,0.8882171586765052,0.12831625656949253,9,0,0,0,,,,,0,,
fixed,f2d9e6f194ee446eafc7a79fcb32994a,93.21428571428572,96.42857142857143,0.9298954805456504,0.05544462325697882,7,0,0,0,,,,,0,,
fixed,9e5f09bc19cd473dae219194ada64f3d,83.125,90.20833333333333,0.8303406652404566,0.19709838123951914,12,0,0,0,,,,,0,,
fixed,f5c0c1968ef0486cb3183e521841352f,91.04166666666667,94.375,0.9071346001769168,0.10825807820719528,12,5,0,0,,,,,0,,
fixed,e561b60694dc4514b6dddcfc5a5b6a90,87.5,92.77777777777779,0.8784937981611513,0.12660580507975047,9,0,0,0,,,,,0,,
fixed,c283b224a9984736bff67a2f347866fa,22.5,17.1875,0.2091957391347207,17.116495197687563,8,0,6,6,2,2,2,2,0,,
fixed,a6ca1e8c4eee458cb4981e02f58c954f,82.5,93.33333333333333,0.8331947917646485,0.13323170530948877,9,0,0,0,,,,,0,,
fixed,898c8b3c29d64d80806dd5e5fc6c02d3,90.83333333333334,96.24999999999999,0.918311144929907,0.056709429902852056,6,0,0,0,,,,,0,,
fixed,19f5d51759454803ae8bbc45bfb92737,76.25,87.08333333333333,0.7660562554898966,0.24850794886728464,6,0,0,0,,,,,0,,
fixed,dc762bf1bc694d3e8141bf592f9b1456,29.464285714285715,27.499999999999996,0.2856593510640808,9.355613558590933,14,1,9,9,5,9,5,9,0,,
fixed,e73ba8faf67d40c8b6b653489393ef8b,71.61764705882352,82.35294117647058,0.7200602077777821,0.35451249631606085,17,5,0,0,,,,,0,,
fixed,68dbf490d231446f92fa7dbd366c8b93,86.73076923076925,92.6923076923077,0.86563353300963,0.14604074315242102,13,7,0,0,,,,,0,,
fixed,713b6bedc51f4d1b9802a13aec39aaf3,81.11111111111111,89.44444444444444,0.8159082648486846,0.1951200256357773,9,0,0,0,,,,,0,,
fixed,200c440c0e9b4627ad4f3047227016a2,7.023809523809524,4.761904761904763,0.04816905905439822,33.581546141992526,21,15,20,20,1,1,1,1,0,,
fixed,007842c92eaf4351b5a9678f7e7094f3,78.33333333333333,91.25000000000001,0.7904990078828429,0.17429168374206525,6,0,0,0,,,,,0,,
fixed,1f8d7e8410ed435da374688590a13b0a,75.20833333333333,88.125,0.7538798655856614,0.2406412661117104,12,1,0,0,,,,,0,,
