run_id,epoch,step,success,precision
B0,5,6310,32.39278030395508,45.43435287475586
B0,10,12620,36.23085403442383,34.963897705078125
B0,15,18930,49.7385139465332,60.41575622558594
B0,20,25240,37.21772384643555,34.47921371459961
B0,25,31550,47.206787109375,49.19694137573242
B0,30,37860,49.83260726928711,55.15973663330078
B0,35,44170,51.539390563964844,63.76258087158203
B0,40,50480,52.79978561401367,63.13019943237305
B0,45,56790,53.066741943359375,61.62582778930664
B0,50,63100,54.13457107543945,64.34353637695312
B0,55,69410,51.21991729736328,60.58753204345703
B0,60,75720,53.359954833984375,64.3818359375
B1,5,6310,29.114877700805664,30.53829574584961
B1,10,12620,20.14551544189453,23.26696014404297
B1,15,18930,28.110504150390625,27.134572982788086
B1,20,25240,26.451862335205078,31.211158752441406
B1,25,31550,27.74726676940918,26.91904067993164
B1,30,37860,25.637855529785156,23.998905181884766
B1,35,44170,26.394969940185547,25.560176849365234
B1,40,50480,24.77790069580078,24.07986831665039
B1,45,56790,25.576587677001953,24.75164222717285
B1,50,63100,26.83698272705078,25.963895797729492
B1,55,69410,25.3818359375,24.960613250732422
B1,60,75720,26.02078628540039,24.971555709838867
A1,5,6310,28.935447692871094,30.20240592956543
A1,10,12620,26.349016189575195,25.5010929107666
A1,15,18930,24.869802474975586,25.049232482910156
A1,20,25240,25.421226501464844,24.405906677246094
A1,25,31550,24.41028594970703,22.62801170349121
A1,30,37860,24.867616653442383,23.429981231689453
A1,35,44170,26.747268676757812,25.347917556762695
A1,40,50480,26.574399948120117,25.002187728881836
A1,45,56790,26.311817169189453,24.435447692871094
A1,50,63100,29.257112503051758,27.56236457824707
A1,55,69410,27.506563186645508,26.040481567382812
A1,60,75720,27.036104202270508,25.59627914428711
B2,5,6310,30.489057540893555,50.4715576171875
B2,10,12620,20.17177391052246,17.69803237915039
B2,15,18930,40.403724670410156,43.828224182128906
B2,20,25240,28.324947357177734,26.460615158081055
B2,25,31550,50.079872131347656,58.49890899658203
B2,30,37860,46.83916473388672,51.42451095581055
B2,35,44170,46.08424758911133,49.858863830566406
B2,40,50480,46.69474792480469,50.23850631713867
B2,45,56790,48.6203498840332,53.63457107543945
B2,50,63100,45.265865325927734,47.54594802856445
B2,55,69410,46.07111740112305,49.82057189941406
B2,60,75720,47.97264862060547,52.087528228759766
